region,metro_area,year,employment_rate,employment_rate_15_64,labor_force,labor_force_participation_rate,not_in_labor_force,population_15plus,unemployment_rate,male_labor_force_participation_rate,male_unemployment_rate,male_employment_rate,male_employment_rate_15_64,female_labor_force_participation_rate,female_unemployment_rate,female_employment_rate,female_employment_rate_15_64,gender_employment_rate_gap,gender_labor_force_participation_gap,youth_employed_share,senior_employed_share,core_30_49_employed_share,working_age_employed_share,wage_worker_share,regular_worker_share,temporary_worker_share,daily_worker_share,self_employed_share,short_hours_worker_share,long_hours_worker_share,average_weekly_hours,college_employed_share,quarter_count,is_complete_year
세종,비수도권,2022,63.75,67.425,201.25,65.025,108.5,309.75,2.025,77.175,2.0250000000000004,75.625,78.575,53.075,1.975,51.975,56.05,23.65,24.1,11.146712822265414,13.41662547295138,55.66563645877561,92.78919252922552,81.88317422699691,71.10774853344437,9.251800264403549,1.6560652374704028,15.71322328274493,29.343326669681275,9.781632284360876,37.25,70.87140127555448,4,True
울산,비수도권,2022,59.15,64.75,584.5,61.125,372.0,956.25,3.2,72.85,3.025,70.625,76.825,48.825,3.5250000000000004,47.125,51.45,23.5,24.025,11.97711645413108,17.793660858019155,43.44699103108322,91.25887026846084,84.70471194459654,64.69447715375051,17.667540862503994,2.4303369531555243,13.83537880854307,28.384381107931468,9.020409396261226,38.15,48.39233531697719,4,True
인천,수도권,2022,62.65,69.4,1669.75,64.825,905.5,2575.0,3.35,74.925,3.3,72.475,77.975,54.975,3.4250000000000003,53.075,60.625,19.400000000000002,19.950000000000003,15.180797201207328,18.04922040458867,42.46811443281848,91.3212039909046,81.44957447279738,57.62609891330146,19.383338020500144,4.4553907421684436,16.97190045489498,26.628457181973033,10.598828576723166,38.8,41.91826354396986,4,True
전남,비수도권,2022,66.275,71.225,1033.5,67.8,491.25,1525.0,2.225,75.85,2.125,74.25,77.65,59.725,2.375,58.3,64.05,15.950000000000001,16.124999999999996,9.303759706354505,33.560161035751214,32.76542460241718,77.37348113081298,60.073271098559914,39.59448280336738,16.892523024009623,3.6361635334790368,31.174687566048597,29.256257588914373,11.177928963293436,38.025,36.27423604841099,4,True
전북,비수도권,2022,62.2,66.80000000000001,992.25,63.75,564.75,1556.25,2.425,71.625,2.475,69.875,72.425,56.075,2.375,54.75,60.85,15.125,15.549999999999999,11.286499520360032,30.013318012473768,35.44986630450252,80.10888829966679,65.24253945645273,45.21367122019931,16.439959383791976,3.5895684510455843,26.92440521235818,32.1031591792418,10.168789332660497,37.15,42.255576005351394,4,True
제주,비수도권,2022,69.95,74.45,410.5,71.45,164.0,574.5,2.125,77.325,2.35,75.525,79.4,65.65,1.925,64.4,69.275,11.125000000000005,11.675,12.565772598943695,23.26947545948495,41.26540787864884,85.87680854707051,66.072018269867,45.4790806992997,14.678258852741596,5.914678717825702,26.76952127171402,32.5374900168332,12.100182026202242,37.050000000000004,51.08718372095836,4,True
충남,비수도권,2022,64.25,69.525,1254.75,65.75,652.75,1907.5,2.35,75.675,2.275,73.925,77.75,55.5,2.375,54.2,60.25,19.725,20.174999999999997,13.147186445854103,25.28911802817035,39.48807648452341,84.22199257007533,68.95158324109849,51.94556791111818,12.9309615053932,4.095198868906202,25.005566859500473,28.729703019158258,12.508919493614112,38.55,38.1815851027247,4,True
충북,비수도권,2022,64.9,71.1,949.0,66.52499999999999,477.5,1426.75,2.45,76.075,2.55,74.15,78.1,56.825,2.325,55.5,63.449999999999996,18.65,19.25,14.555806147649339,24.953877111647373,37.1870028579892,85.98113597784072,70.7963631933479,52.20285600977732,14.63268246182681,3.9874771737693533,23.513133058997834,28.524979120416646,12.305816787898433,38.3,40.1242670575693,4,True
강원,비수도권,2023,63.325,69.55,864.5,65.125,463.0,1327.5,2.8,70.2,2.425,68.525,74.45,60.25,3.175,58.375,64.5,10.149999999999999,9.95,11.341771692175076,30.628986977305466,34.271221334980126,80.72806796643833,71.56838861212752,48.34514692178276,18.73016358216191,4.521780748825789,23.635656702535346,28.839024127395078,11.19625167333108,37.1,40.43345664294911,4,True
경기,수도권,2023,63.974999999999994,70.4,7859.5,65.7,4101.75,11961.0,2.6,75.725,2.8249999999999997,73.575,78.575,55.775,2.325,54.45,61.875,19.125,19.950000000000003,14.689121237606837,17.974552057320437,43.43558406371405,90.87921170466538,80.43751570991208,61.21863940056835,15.406167323117003,3.816044176012307,17.83218817795341,21.916240733002397,9.710203625191737,39.1,52.553063230020484,4,True
경남,비수도권,2023,62.0,68.175,1805.0,63.574999999999996,1034.75,2839.75,2.5,71.55,2.5250000000000004,69.75,74.9,55.5,2.425,54.175,60.825,15.574999999999996,16.05,10.042024614451392,25.52728920061231,38.42242798326961,85.05025144644775,70.9178258965138,53.111495435146935,15.655622877850169,2.1507075835167004,23.588921231504074,27.29270291192212,12.24737529077272,38.825,44.913028401149894,4,True
경북,비수도권,2023,63.475,68.35,1500.75,65.2,802.5,2303.25,2.6,74.55,2.625,72.57499999999999,75.75,55.675,2.575,54.275,60.15,18.299999999999997,18.875,9.89115638954334,32.504324163168974,33.417002395296414,79.05637927223401,62.83968823917249,44.52243987683765,14.780191405457204,3.554121803294015,29.13359484862286,25.555354230859397,11.166831349291812,38.6,38.34408464788934,4,True
광주,비수도권,2023,60.075,65.625,788.75,61.65,491.0,1279.5,2.575,69.95,2.5749999999999997,68.175,73.525,53.725,2.5,52.35,57.725,15.825,16.225,13.531733045625842,19.08485228328864,42.08357286637842,89.04545381498528,77.81870678209054,57.30586196711963,16.676061110084397,3.86972178130286,19.188060893865497,23.07489148270407,11.677209164272554,39.275000000000006,51.38144216059172,4,True
대구,비수도권,2023,59.775,67.8,1286.0,61.65,799.5,2085.5,3.075,71.3,3.025,69.15,75.95,52.625,3.125,51.0,59.675,18.15,18.675,12.97489934009341,21.495128385360843,40.014205765174204,88.91528194366335,77.95611736144139,56.14301556259956,17.099316129518073,4.733564150336414,19.817279974396257,23.19424775067774,10.889255174087378,38.85,53.62498113357982,4,True
대전,비수도권,2023,61.6,67.825,820.0,63.375,473.75,1293.5,2.8,72.4,2.9,70.30000000000001,75.725,54.6,2.65,53.2,59.775,17.1,17.799999999999997,15.617185213748638,19.409503581301465,42.39608551592447,89.52726737425984,80.71474630522671,62.433738206153436,14.079050925428115,4.233207173645154,17.215604020597574,24.958447900238824,10.129025484614544,38.35,60.45621948828152,4,True
부산,비수도권,2023,57.7,66.525,1746.0,59.575,1184.5,2930.5,3.125,69.27499999999999,2.75,67.425,75.975,50.65,3.65,48.8,57.25,18.625,18.624999999999993,13.271715586929012,23.764272172046432,39.77395340880389,86.7733515376976,77.25323499118517,52.246732239496815,21.76900198367653,3.2228380114135815,20.352451900357593,24.97292890954894,11.855176164841756,38.85,49.23118248309407,4,True
서울,수도권,2023,61.075,69.475,5319.5,62.8,3149.75,8469.0,2.75,70.775,2.55,69.0,76.45,55.6,2.975,53.95,62.95,15.049999999999999,15.174999999999999,17.221516230386403,17.335369206403985,44.210530921528026,91.02842737653614,82.82945279397474,63.13789563776346,16.31126200843445,3.394813632752894,15.74002222388702,22.248272957227293,10.818124567400593,39.4,62.761576384958076,4,True
세종,비수도권,2023,64.6,67.85,212.5,65.95,109.75,322.0,2.05,76.5,1.425,75.4,78.425,55.575,2.875,53.975,57.225,21.424999999999997,20.924999999999997,10.564490712002744,14.631849070801909,54.50887620290126,91.72859133798838,82.35879599779744,71.55980845161193,9.119289280492715,1.441000790531013,15.843490980245795,24.088074087086195,9.12055127495164,38.175,70.59676149542489,4,True
울산,비수도권,2023,59.775,65.525,592.0,61.875,364.75,956.5,3.45,72.95,3.325,70.55,76.675,50.225,3.6,48.35,53.225,22.199999999999996,22.724999999999998,11.550393973093476,18.891432544674434,42.655114634187406,90.29176293278366,83.73177513726874,64.5743236440935,16.9276231144682,2.2298283787070496,14.562893342297873,21.560445530505106,10.842428521358688,39.65,47.16265423286477,4,True
인천,수도권,2023,63.075,69.425,1708.75,65.15,914.0,2623.0,3.175,74.625,3.0999999999999996,72.30000000000001,77.475,55.925,3.3,54.05,61.15,18.250000000000004,18.700000000000003,14.247480751768979,19.598063011172364,42.616384237602,89.78267384416137,80.72708647845539,57.811715088343846,19.003547773793542,3.9268838572818607,17.566645141806113,21.80584637770102,10.813632674099754,39.225,43.635571100266766,4,True
전남,비수도권,2023,66.9,71.85,1041.5,68.375,481.75,1522.75,2.225,75.275,1.825,73.925,77.85,61.475,2.6500000000000004,59.824999999999996,65.05,14.100000000000003,13.799999999999999,8.935072287460407,34.81427719482732,31.759339573818988,76.54552661712665,61.81556425741828,40.39876403295294,17.372132466298833,4.019742533839483,30.28570316078253,28.798253190005994,11.87355439218497,37.875,37.034883597522374,4,True
전북,비수도권,2023,63.275,67.775,1008.0,64.89999999999999,545.5,1553.0,2.5,71.375,2.5,69.575,72.175,58.575,2.5,57.125,63.099999999999994,12.450000000000001,12.799999999999999,10.86248605198745,30.98286144001919,34.44746484471657,78.95688674422263,65.89660793946108,46.36644998286387,15.36008137322253,4.220381652749112,26.558674819054055,28.973909567930875,10.29990345950851,37.3,41.688527151751074,4,True
제주,비수도권,2023,69.225,74.55,408.75,70.55,170.5,579.25,1.9,76.9,1.7999999999999998,75.5,79.85,64.35,1.975,63.075,69.025,12.425,12.55,12.038345846359679,22.939167966132572,40.71289147365121,86.09948761849644,67.76216455217332,47.819463667505204,14.955644263291607,4.988487991929716,26.49759577141195,27.79685142514215,12.459560616620758,38.0,53.803146021532726,4,True
충남,비수도권,2023,64.775,69.75,1281.5,66.475,645.25,1926.25,2.6,75.75,2.4,73.95,77.75,56.825,2.95,55.2,60.650000000000006,18.75,18.925000000000004,12.63376038815678,26.83611016425435,39.03193105412133,83.09570999297058,71.7944420781487,53.50857963920848,14.435841671130602,3.8894870417448075,23.513931209747692,25.883727320093957,12.167500014850166,38.65,39.31183611823454,4,True
충북,비수도권,2023,65.425,71.4,960.75,66.95,474.0,1434.75,2.3,77.475,2.125,75.825,80.075,56.25,2.575,54.775,61.85,21.049999999999997,21.225,13.56172896939282,26.265711572166055,37.00353690568438,84.62406399475404,71.40205759799308,53.913244501066195,13.337002338944988,4.1780988757526645,23.146709376338933,24.504980427814946,10.72135177444802,38.725,41.942136086119625,4,True
강원,비수도권,2024,63.550000000000004,70.35,867.75,65.325,460.5,1328.0,2.8,70.925,2.675,69.025,75.95,59.925,2.9,58.225,64.55,10.8,10.999999999999996,11.98377554218249,30.972614780854563,33.39657163124953,80.01226600067575,72.2917721850226,50.44421375659109,17.712813178344653,4.135997962038944,23.10558965792948,34.488102847992025,10.201607620407302,36.325,43.12316987815805,4,True
