region,metro_area,year,quarter,period,employment_rate,employment_rate_15_64,labor_force,labor_force_participation_rate,not_in_labor_force,population_15plus,unemployment_rate,male_labor_force_participation_rate,male_unemployment_rate,male_employment_rate,male_employment_rate_15_64,female_labor_force_participation_rate,female_unemployment_rate,female_employment_rate,female_employment_rate_15_64,gender_employment_rate_gap,gender_labor_force_participation_gap,youth_employed_share,senior_employed_share,core_30_49_employed_share,working_age_employed_share,wage_worker_share,regular_worker_share,temporary_worker_share,daily_worker_share,self_employed_share,short_hours_worker_share,long_hours_worker_share,average_weekly_hours,college_employed_share
충북,비수도권,2021,1,2021.1/4,60.8,68.2,891.0,63.0,523.0,1413.0,3.5,72.9,3.4,70.4,76.0,53.0,3.7,51.0,59.6,19.400000000000006,19.900000000000006,15.133876600698487,20.13969732246799,40.51222351571595,89.52270081490104,73.34109429569267,55.18044237485448,14.551804423748546,3.7252619324796274,21.303841676367867,21.187427240977883,11.990686845168801,39.0,40.74505238649593
강원,비수도권,2021,2,2021.2/4,63.2,68.0,856.0,65.0,460.0,1316.0,2.8,71.7,2.9,69.6,74.3,58.5,2.6,57.0,61.5,12.599999999999994,13.200000000000003,11.538461538461538,29.6875,34.73557692307692,81.73076923076923,70.1923076923077,44.71153846153847,19.230769230769234,6.25,23.918269230769234,25.600961538461537,13.701923076923078,38.7,37.62019230769231
경기,수도권,2021,2,2021.2/4,61.3,67.0,7468.0,64.0,4196.0,11664.0,4.2,75.1,4.1,72.1,77.2,53.0,4.4,50.6,56.4,21.499999999999993,22.099999999999994,14.705060106234274,15.991053955828907,45.83449818283478,92.18618954431086,80.1928990774392,57.70198490355046,17.61252446183953,4.878389712049203,17.5146771037182,19.9748392507688,10.889013139502376,39.7,50.489236790606654
경남,비수도권,2021,2,2021.2/4,61.7,66.2,1832.0,64.2,1023.0,2854.0,3.8,74.1,3.8,71.3,74.6,54.2,3.8,52.1,57.1,19.199999999999996,19.89999999999999,11.40749148694665,24.063564131668556,40.18161180476731,85.527809307605,69.97729852440409,49.94324631101021,16.85584562996595,3.1782065834279227,24.801362088535754,23.552780930760502,16.628830874006812,40.4,39.330306469920544
경북,비수도권,2021,2,2021.2/4,61.3,65.3,1472.0,63.7,839.0,2311.0,3.7,74.8,4.1,71.7,75.2,52.6,3.2,51.0,54.4,20.700000000000003,22.199999999999996,10.444601270289343,30.910374029640085,34.50952717007763,80.23994354269584,62.80875088214538,44.31898376852506,14.043754410726889,4.446012702893437,28.228652081863093,20.18348623853211,13.126323218066338,40.2,39.87297106563162
광주,비수도권,2021,2,2021.2/4,58.7,63.4,780.0,60.9,500.0,1280.0,3.7,69.6,3.8,66.9,71.8,52.7,3.4,50.9,55.0,16.000000000000007,16.89999999999999,13.696808510638297,17.68617021276596,44.28191489361702,89.76063829787235,75.93085106382979,53.590425531914896,17.287234042553195,4.920212765957447,20.079787234042552,21.27659574468085,13.563829787234042,40.0,51.59574468085106
대구,비수도권,2021,2,2021.2/4,58.8,66.0,1285.0,61.4,807.0,2091.0,4.3,71.8,4.3,68.7,74.8,51.7,4.4,49.4,57.3,19.300000000000004,20.099999999999994,14.564686737184704,18.795768917819366,40.52074857607811,90.48006509357201,76.64768104149715,53.78356387306753,17.493897477624085,5.370219690805533,20.260374288039056,22.945484133441823,10.252237591537835,38.6,53.78356387306753
대전,비수도권,2021,2,2021.2/4,61.1,66.4,815.0,63.3,473.0,1289.0,3.4,72.2,3.3,69.8,74.2,54.5,3.6,52.6,58.6,17.199999999999996,17.700000000000003,16.772554002541295,17.662007623888183,42.43964421855146,90.47013977128336,79.79669631512071,56.92503176620076,18.80559085133418,4.066073697585769,17.662007623888183,22.61753494282084,12.325285895806863,38.9,52.60482846251588
부산,비수도권,2021,2,2021.2/4,56.6,64.2,1730.0,58.6,1221.0,2951.0,3.5,68.1,3.8,65.5,72.3,49.9,3.1,48.4,56.5,17.1,18.199999999999996,13.652694610778443,21.79640718562874,40.35928143712575,88.20359281437126,74.13173652694611,50.83832335329341,18.263473053892216,5.029940119760479,22.395209580838323,22.874251497005986,12.395209580838323,38.8,47.84431137724551
서울,수도권,2021,2,2021.2/4,59.5,66.7,5358.0,62.8,3180.0,8538.0,5.2,71.3,4.9,67.8,74.5,55.0,5.5,52.0,59.4,15.799999999999997,16.299999999999997,18.12635308010234,15.922062586105099,44.51879551269435,91.73391064751033,81.99173391064751,59.043495374926195,18.14603424522732,4.821885455618973,16.29600472347963,21.413107655973235,10.667191497736667,39.2,60.38181460342452
세종,비수도권,2021,2,2021.2/4,64.0,67.0,192.0,65.4,102.0,294.0,2.1,77.1,1.8,75.7,78.2,53.7,2.7,52.2,55.7,23.5,23.39999999999999,12.23404255319149,12.76595744680851,55.85106382978723,92.5531914893617,81.38297872340425,69.68085106382979,10.106382978723403,1.5957446808510638,15.957446808510639,18.085106382978726,11.702127659574469,40.0,71.80851063829788
울산,비수도권,2021,2,2021.2/4,57.4,62.2,573.0,59.6,389.0,962.0,3.6,70.9,3.5,68.4,73.6,47.7,3.8,45.8,49.7,22.60000000000001,23.200000000000003,10.869565217391305,16.1231884057971,46.19565217391305,91.84782608695652,81.52173913043478,62.31884057971014,16.1231884057971,3.0797101449275366,16.304347826086957,21.3768115942029,11.594202898550725,39.6,47.46376811594203
인천,수도권,2021,2,2021.2/4,61.8,67.6,1654.0,64.9,893.0,2547.0,4.8,75.1,5.2,71.2,76.1,55.1,4.3,52.7,59.0,18.5,19.999999999999993,14.920634920634921,17.333333333333336,43.55555555555555,91.36507936507937,81.3968253968254,55.17460317460318,20.444444444444446,5.714285714285714,16.952380952380953,19.873015873015873,11.492063492063492,39.6,41.3968253968254
전남,비수도권,2021,2,2021.2/4,65.3,69.5,1016.0,66.7,508.0,1524.0,2.1,75.4,2.5,73.6,76.1,57.9,1.6,57.0,61.9,16.599999999999994,17.500000000000007,8.944723618090453,33.06532663316583,34.17085427135678,77.58793969849246,60.904522613065325,38.5929648241206,18.492462311557787,3.819095477386935,29.547738693467334,22.110552763819097,11.457286432160805,39.0,36.18090452261307
전북,비수도권,2021,2,2021.2/4,61.9,66.0,984.0,63.3,572.0,1556.0,2.2,71.5,2.4,69.8,72.3,55.3,2.0,54.1,59.4,15.699999999999996,16.200000000000003,10.706860706860708,30.04158004158004,36.07068607068607,80.66528066528068,64.96881496881497,44.6985446985447,15.696465696465697,4.5738045738045745,26.715176715176714,23.284823284823286,12.474012474012476,39.4,40.02079002079002
제주,비수도권,2021,2,2021.2/4,68.4,72.1,401.0,70.7,166.0,567.0,3.3,76.2,3.4,73.6,76.6,65.3,3.3,63.2,67.4,10.399999999999991,10.900000000000006,12.371134020618557,22.68041237113402,41.49484536082475,85.82474226804123,64.17525773195877,44.329896907216494,13.144329896907218,6.701030927835052,28.865979381443296,27.31958762886598,15.463917525773196,38.5,49.48453608247423
충남,비수도권,2021,2,2021.2/4,64.4,68.9,1251.0,66.2,640.0,1890.0,2.7,76.1,2.9,73.8,77.0,55.9,2.5,54.5,59.7,19.299999999999997,20.199999999999996,12.571898110106819,24.979457682826624,40.09860312243221,84.14133114215284,67.87181594083813,50.123253903040265,13.72226787181594,4.026294165981923,24.48644207066557,20.788824979457683,15.283483976992605,40.6,37.05834018077239
충북,비수도권,2021,2,2021.2/4,64.1,70.2,930.0,65.7,485.0,1415.0,2.5,74.7,2.5,72.9,77.6,56.5,2.5,55.1,62.1,17.800000000000004,18.200000000000003,14.22271223814774,23.26350606394708,38.919514884233735,87.10033076074973,72.65711135611907,52.590959206174205,16.09702315325248,3.9691289966923926,21.27894156560088,20.948180815876515,13.561190738699008,40.2,39.58103638368247
강원,비수도권,2021,3,2021.3/4,63.8,68.5,861.0,65.3,458.0,1318.0,2.3,71.3,2.4,69.6,74.3,59.4,2.1,58.2,62.6,11.399999999999991,11.899999999999999,11.533888228299643,30.202140309155766,34.36385255648038,81.21284185493461,69.32223543400713,44.23305588585018,18.90606420927467,6.064209274673008,24.37574316290131,30.915576694411417,13.079667063020214,37.6,37.5743162901308
경기,수도권,2021,3,2021.3/4,61.9,67.5,7478.0,63.8,4245.0,11723.0,3.0,74.9,2.8,72.7,77.7,52.8,3.2,51.1,56.9,21.6,22.10000000000001,15.203308063404549,16.292212267401794,44.97587870434183,91.8538938662991,80.74431426602344,58.3184011026878,17.946243969676086,4.493452791178497,17.036526533425224,27.305306685044794,9.924190213645762,38.6,50.26878015161957
경남,비수도권,2021,3,2021.3/4,61.6,66.2,1816.0,63.6,1038.0,2854.0,3.1,73.6,3.8,70.8,74.0,53.7,2.2,52.5,57.7,18.299999999999997,19.89999999999999,11.085844229675953,24.67310972143263,39.681637293917,85.27572484366117,70.26719727117681,50.02842524161455,16.884593519044913,3.411028993746447,24.161455372370668,29.22114837976123,13.985218874360433,38.7,39.11313246162592
